xPos, yPos, lives
50 50 1
120 50 1
190 50 1
260 50 1
330 50 1
400 50 1
470 50 1
540 50 1
610 50 1
680 50 1
750 50 1
820 50 1
890 50 1
50 80 1
120 80 1
190 80 1
260 80 1
330 80 1
400 80 1
470 80 1
540 80 1
610 80 1
680 80 1
750 80 1
820 80 1
890 80 1
50 110 1
120 110 1
190 110 1
260 110 1
330 110 1
400 110 1
470 110 1
540 110 1
610 110 1
680 110 1
750 110 1
820 110 1
890 110 1
50 140 1
120 140 1
190 140 1
260 140 1
330 140 1
400 140 1
470 140 1
540 140 1
610 140 1
680 140 1
750 140 1
820 140 1
890 140 1
