xPos, yPos, lives
50 50 3
120 50 2
190 50 2
260 50 1
330 50 3
400 50 2
470 50 2
540 50 1
610 50 3
680 50 1
750 50 1
820 50 1
890 50 2
115 80 2
185 80 3
255 80 2
325 80 1
395 80 3
465 80 2
535 80 1
605 80 3
675 80 1
745 80 2
815 80 3
180 110 3
250 110 1
320 110 3
390 110 2
460 110 3
530 110 2
600 110 1
670 110 1
740 110 1
245 140 3
315 140 3
385 140 3
455 140 2
525 140 3
595 140 3
665 140 3
735 140 1
310 170 1
380 170 1
450 170 3
520 170 1
590 170 2
660 170 1
375 200 2
445 200 1
515 200 1
585 200 2
440 230 1
510 230 1
505 260 2
570 290 1
635 320 3
700 350 1
765 380 3
830 410 1
895 440 3
960 470 1
1025 500 3
1090 530 2
1155 560 2
1220 590 2
1285 620 1
1350 650 2
1415 680 1
1480 710 3
1545 740 2
1610 770 2
1675 800 1
1740 830 2
1805 860 1
1870 890 3
1935 920 3
2000 950 2
2065 980 3
2130 1010 3
2195 1040 1
2260 1070 1
2325 1100 2
2390 1130 3
2455 1160 2
2520 1190 3
2585 1220 1
2650 1250 3
2715 1280 2
2780 1310 3
2845 1340 1
2910 1370 1
2975 1400 1
3040 1430 2
3105 1460 2
3170 1490 3
3235 1520 2
3300 1550 2
3365 1580 2
3430 1610 3
3495 1640 3
3560 1670 3
3625 1700 1
3690 1730 1
3755 1760 3
